code,std_code,name,group
0004G0,KR70004G0002,1Q 미국배당TOP30,EF
000500,KR7000500009,가온전선,ST
000520,KR7000520007,삼일제약,ST
000540,KR7000540005,흥국화재,ST
000545,KR7000541003,흥국화재우,ST
000590,KR7000590000,CS홀딩스,ST
0005A0,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM,EF
0005C0,KR70005C0005,RISE 미국S&P500엔화노출(합성 H),EF
0005D0,KR70005D0004,SOL 전고체배터리&실리콘음극재,EF
0005G0,KR70005G0001,IBK K-AI반도체코어테크,EF
000640,KR7000640003,동아쏘시오홀딩스,ST
000650,KR7000650002,천일고속,ST
000660,KR7000660001,SK하이닉스,ST
000670,KR7000670000,영풍,ST
000680,KR7000680009,LS네트웍스,ST
000700,KR7000700005,유수홀딩스,ST
000720,KR7000720003,현대건설,ST
000725,KR7000721001,현대건설우,ST
000760,KR7000760009,이화산업,ST
0007F0,KR70007F0000,KODEX 27-12 회사채(AA-이상)액티브,EF
0007G0,KR70007G0009,PLUS 글로벌원자력밸류체인,EF
0007N0,KR70007N0000,아이엠에셋 200,EF
000810,KR7000810002,삼성화재,ST
000815,KR7000811000,삼성화재우,ST
000850,KR7000850008,화천기공,ST
000860,KR7000860007,강남제비스코,ST
000880,KR7000880005,한화,ST
00088K,KR700088K015,한화3우B,ST
000890,KR7000890004,보해양조,ST
0008E0,KR70008E0000,ACE 미국중심중소형제조업,EF
0008S0,KR70008S0004,TIGER 미국배당다우존스타겟데일리커버드콜,EF
0008T0,KR70008T0003,SOL 화장품TOP3플러스,EF
000910,KR7000910000,유니온,ST
000950,KR7000950006,전방,ST
000970,KR7000970004,한국주철관,ST
000990,KR7000990002,DB하이텍,ST
001020,KR7001020007,페이퍼코리아,ST
001040,KR7001040005,CJ,ST
001045,KR7001041003,CJ우,ST
00104K,KR700104K010,CJ4우(전환),ST
001060,KR7001060003,JW중외제약,ST
001065,KR7001061001,JW중외제약우,ST
001067,KR7001062009,JW중외제약2우B,ST
001070,KR7001070002,대한방직,ST
001080,KR7001080001,만호제강,ST
001120,KR7001120005,LX인터내셔널,ST
001130,KR7001130004,대한제분,ST
001200,KR7001200005,유진투자증권,ST
001210,KR7001210004,금호전기,ST
001230,KR7001230002,동국홀딩스,ST
001250,KR7001250000,GS글로벌,ST
001260,KR7001260009,남광토건,ST
001270,KR7001270008,부국증권,ST
001275,KR7001271006,부국증권우,ST
001290,KR7001290006,상상인증권,ST
001340,KR7001340009,PKC,ST
001360,KR7001360007,삼성제약,ST
001380,KR7001380005,SG글로벌,ST
001390,KR7001390004,KG케미칼,ST
0013P0,KR70013P0000,RISE 미국은행TOP10,EF
0013R0,KR70013R0008,RISE 테슬라미국채타겟커버드콜혼합(합성),EF
001420,KR7001420009,태원물산,ST
001430,KR7001430008,세아베스틸지주,ST
001440,KR7001440007,대한전선,ST
001450,KR7001450006,현대해상,ST
001460,KR7001460005,BYC,ST
001465,KR7001461003,BYC우,ST
001470,KR7001470004,삼부토건,ST
001500,KR7001500008,현대차증권,ST
001510,KR7001510007,SK증권,ST
001515,KR7001511005,SK증권우,ST
001520,KR7001520006,동양,ST
001525,KR7001521004,동양우,ST
001527,KR7001522002,동양2우B,ST
001530,KR7001530005,DI동일,ST
001550,KR7001550003,조비,ST
001560,KR7001560002,제일연마,ST
001570,KR7001570001,금양,ST
0015B0,KR70015B0004,KoAct 미국나스닥성장기업액티브,EF
0015E0,KR70015E0001,KIWOOM 엔비디아미국30년국채혼합액티브(H),EF
0015F0,KR70015F0000,KIWOOM 팔란티어미국30년국채혼합액티브(H),EF
0015K0,KR70015K0003,TIGER 미국소비트렌드액티브,EF
001620,KR7001620004,케이비아이동국실업,ST
001630,KR7001630003,종근당홀딩스,ST
001680,KR7001680008,대상,ST
001685,KR7001681006,대상우,ST
0016X0,KR70016X0007,SOL 중단기회사채(A-이상)액티브,EF
001720,KR7001720002,신영증권,ST
001740,KR7001740000,SK네트웍스,ST
001750,KR7001750009,한양증권,ST
001755,KR7001751007,한양증권우,ST
001770,KR7001770007,SHD,ST
001780,KR7001780006,알루코,ST
001790,KR7001790005,대한제당,ST
001795,KR7001791003,대한제당우,ST
0017Y0,KR70017Y0005,1Q 종합채권(AA-이상)액티브,EF
001800,KR7001800002,오리온홀딩스,ST
001820,KR7001820000,삼화콘덴서,ST
0018C0,KR70018C0000,PLUS 고배당주위클리고정커버드콜,EF
0018Z0,KR70018Z0003,RISE 미국양자컴퓨팅,EF
001940,KR7001940006,KISCO홀딩스,ST
0019K0,KR70019K0009,TIME 미국나스닥100채권혼합50액티브,EF
002020,KR7002020006,코오롱,ST
002025,KR7002021004,코오롱우,ST
002030,KR7002030005,아세아,ST
002070,KR7002070001,비비안,ST
0020H0,KR70020H0001,KoAct 글로벌양자컴퓨팅액티브,EF
002100,KR7002100006,경농,ST
002140,KR7002140002,고려산업,ST
002150,KR7002150001,도화엔지니어링,ST
002170,KR7002170009,SYTS,ST
0021C0,KR70021C0005,ACE TDF장기자산배분액티브,EF
0021D0,KR70021D0004,ACE TDF2030액티브 적격,EF
0021E0,KR70021E0003,ACE TDF2050액티브 적격,EF
002200,KR7002200004,한국수출포장,ST
002210,KR7002210003,동성제약,ST
002220,KR7002220002,한일철강,ST
002240,KR7002240000,고려제강,ST
0022T0,KR70022T0005,SOL 국제금커버드콜액티브,EF
002310,KR7002310001,아세아제지,ST
002320,KR7002320000,한진,ST
002350,KR7002350007,넥센타이어,ST
002355,KR7002351005,넥센타이어1우B,ST
002360,KR7002360006,SH에너지화학,ST
002380,KR7002380004,KCC,ST
002390,KR7002390003,한독,ST
0023A0,KR70023A0005,SOL 미국양자컴퓨팅TOP10,EF
0023B0,KR70023B0004,PLUS 미국양자컴퓨팅TOP10,EF
002410,KR7002410009,범양건영,ST
002420,KR7002420008,세기상사,ST
002450,KR7002450005,삼익악기,ST
002460,KR7002460004,HS화성,ST
0025N0,KR70025N0008,TIGER TDF2045 적격,EF
002600,KR7002600005,조흥,ST
002620,KR7002620003,제일파마홀딩스,ST
002630,KR7002630002,오리엔트바이오,ST
002690,KR7002690006,동일제강,ST
0026E0,KR70026E0008,KODEX 미국S&P500버퍼3월액티브,EF
0026S0,KR70026S0002,1Q 미국S&P500,EF
002700,KR7002700003,신일전자,ST
002710,KR7002710002,TCC스틸,ST
002720,KR7002720001,국제약품,ST
002760,KR7002760007,보락,ST
002780,KR7002780005,진흥기업,ST
002785,KR7002781003,진흥기업우B,ST
002787,KR7002782001,진흥기업2우B,ST
002790,KR7002790004,아모레퍼시픽홀딩스,ST
002795,KR7002791002,아모레퍼시픽홀딩스우,ST
00279K,KR700279K010,아모레퍼시픽홀딩스3우C,ST
002810,KR7002810000,삼영무역,ST
002820,KR7002820009,SUN&L,ST
002840,KR7002840007,미원상사,ST
002870,KR7002870004,신풍,ST
002880,KR7002880003,디와이에이,ST
0028X0,KR70028X0003,KODEX 미국금융테크액티브,EF
002900,KR7002900009,TYM,ST
002920,KR7002920007,유성기업,ST
002960,KR7002960003,한국쉘석유,ST
002990,KR7002990000,금호건설,ST
002995,KR7002991008,금호건설우,ST
003000,KR7003000007,부광약품,ST
003010,KR7003010006,혜인,ST
003030,KR7003030004,세아제강지주,ST
003060,KR7003060001,에이프로젠바이오로직스,ST
003070,KR7003070000,코오롱글로벌,ST
003075,KR7003071008,코오롱글로벌우,ST
003080,KR7003080009,SB성보,ST
003090,KR7003090008,대웅,ST
0030R0,KR70030R0007,대신밸류리츠,RT
003120,KR7003120003,일성아이에스,ST
003160,KR7003160009,디아이,ST
003200,KR7003200003,일신방직,ST
003220,KR7003220001,대원제약,ST
003230,KR7003230000,삼양식품,ST
003240,KR7003240009,태광산업,ST
003280,KR7003280005,흥아해운,ST
003300,KR7003300001,한일홀딩스,ST
003350,KR7003350006,한국화장품제조,ST
003460,KR7003460003,유화증권,ST
003465,KR7003461001,유화증권우,ST
003470,KR7003470002,유안타증권,ST
003475,KR7003471000,유안타증권우,ST
003480,KR7003480001,한진중공업홀딩스,ST
003490,KR7003490000,대한항공,ST
003495,KR7003491008,대한항공우,ST
003520,KR7003520004,영진약품,ST
003530,KR7003530003,한화투자증권,ST
003535,KR7003531001,한화투자증권우,ST
003540,KR7003540002,대신증권,ST
003545,KR7003541000,대신증권우,ST
003547,KR7003542008,대신증권2우B,ST
003550,KR7003550001,LG,ST
003555,KR7003551009,LG우,ST
003570,KR7003570009,SNT다이내믹스,ST
003580,KR7003580008,HLB글로벌,ST
0035T0,KR70035T0000,PLUS 글로벌휴머노이드로봇액티브,EF
003610,KR7003610003,방림,ST
003620,KR7003620002,KG모빌리티,ST
003650,KR7003650009,미창석유,ST
003670,KR7003670007,포스코퓨처엠,ST
003680,KR7003680006,한성기업,ST
003690,KR7003690005,코리안리,ST
0036D0,KR70036D0007,TIME 미국배당다우존스액티브,EF
0036R0,KR70036R0001,RISE 미국휴머노이드로봇,EF
0036Z0,KR70036Z0001,RISE 미국천연가스밸류체인,EF
003720,KR7003720000,삼영,ST
003780,KR7003780004,진양산업,ST
003830,KR7003830007,대한화섬,ST
003850,KR7003850005,보령,ST
0038A0,KR70038A0008,KODEX 미국휴머노이드로봇,EF
003920,KR7003920006,남양유업,ST
003925,KR7003921004,남양유업우,ST
003960,KR7003960002,사조대림,ST
004000,KR7004000006,롯데정밀화학,ST
004020,KR7004020004,현대제철,ST
004060,KR7004060000,SG세계물산,ST
004080,KR7004080008,신흥,ST
004090,KR7004090007,한국석유,ST
0040S0,KR70040S0004,HANARO 글로벌피지컬AI액티브,EF
0040X0,KR70040X0007,SOL 팔란티어미국채커버드콜혼합,EF
0040Y0,KR70040Y0006,SOL 팔란티어커버드콜OTM채권혼합,EF
004100,KR7004100004,태양금속,ST
004105,KR7004101002,태양금속우,ST
004140,KR7004140000,동방,ST
004150,KR7004150009,한솔홀딩스,ST
004170,KR7004170007,신세계,ST
0041D0,KR70041D0000,KODEX 미국AI소프트웨어TOP10,EF
0041E0,KR70041E0009,KODEX 미국S&P500액티브,EF
004250,KR7004250007,NPC,ST
004255,KR7004251005,NPC우,ST
004270,KR7004270005,남성,ST
004310,KR7004310009,현대약품,ST
004360,KR7004360004,세방,ST
004365,KR7004361002,세방우,ST
004370,KR7004370003,농심,ST
004380,KR7004380002,삼익THK,ST
0043B0,KR70043B0000,TIGER 머니마켓액티브,EF
0043Y0,KR70043Y0003,TIME 차이나AI테크액티브,EF
004410,KR7004410007,서울식품,ST
004415,KR7004411005,서울식품우,ST
004430,KR7004430005,송원산업,ST
004440,KR7004440004,삼일씨엔에스,ST
004450,KR7004450003,삼화왕관,ST
004490,KR7004490009,세방전지,ST
004540,KR7004540001,깨끗한나라,ST
